reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-21,wk flu hosp rate change,0,2026-02-21,17,pmf,increase,0.09790209790209792
2026-02-21,wk flu hosp rate change,0,2026-02-21,17,pmf,large_decrease,0.06593406593406595
2026-02-21,wk flu hosp rate change,0,2026-02-21,17,pmf,large_increase,0.0019980019980019984
2026-02-21,wk flu hosp rate change,0,2026-02-21,17,pmf,stable,0.1228771228771229
2026-02-21,wk flu hosp rate change,0,2026-02-21,18,pmf,decrease,0.597
2026-02-21,wk flu hosp rate change,0,2026-02-21,18,pmf,increase,0.106
2026-02-21,wk flu hosp rate change,0,2026-02-21,18,pmf,large_decrease,0.208
2026-02-21,wk flu hosp rate change,0,2026-02-21,18,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,18,pmf,stable,0.0870000000000001
2026-02-21,wk flu hosp rate change,0,2026-02-21,19,pmf,decrease,0.5
2026-02-21,wk flu hosp rate change,0,2026-02-21,19,pmf,increase,0.093
2026-02-21,wk flu hosp rate change,0,2026-02-21,19,pmf,large_decrease,0.202
2026-02-21,wk flu hosp rate change,0,2026-02-21,19,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,19,pmf,stable,0.20300000000000012
2026-02-21,wk flu hosp rate change,0,2026-02-21,20,pmf,decrease,0.414
2026-02-21,wk flu hosp rate change,0,2026-02-21,20,pmf,increase,0.219
2026-02-21,wk flu hosp rate change,0,2026-02-21,20,pmf,large_decrease,0.166
2026-02-21,wk flu hosp rate change,0,2026-02-21,20,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,20,pmf,stable,0.199
2026-02-21,wk flu hosp rate change,0,2026-02-21,21,pmf,decrease,0.671
2026-02-21,wk flu hosp rate change,0,2026-02-21,21,pmf,increase,0.041
2026-02-21,wk flu hosp rate change,0,2026-02-21,21,pmf,large_decrease,0.209
2026-02-21,wk flu hosp rate change,0,2026-02-21,21,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,21,pmf,stable,0.077
2026-02-21,wk flu hosp rate change,0,2026-02-21,22,pmf,decrease,0.625
2026-02-21,wk flu hosp rate change,0,2026-02-21,22,pmf,increase,0.085
2026-02-21,wk flu hosp rate change,0,2026-02-21,22,pmf,large_decrease,0.015
2026-02-21,wk flu hosp rate change,0,2026-02-21,22,pmf,large_increase,0.001
