reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-10,wk flu hosp rate change,0,2026-01-10,01,pmf,decrease,0.198
2026-01-10,wk flu hosp rate change,0,2026-01-10,01,pmf,increase,0.33
2026-01-10,wk flu hosp rate change,0,2026-01-10,01,pmf,large_decrease,0.028
2026-01-10,wk flu hosp rate change,0,2026-01-10,01,pmf,large_increase,0.318
2026-01-10,wk flu hosp rate change,0,2026-01-10,01,pmf,stable,0.126
2026-01-10,wk flu hosp rate change,0,2026-01-10,02,pmf,decrease,0.345
2026-01-10,wk flu hosp rate change,0,2026-01-10,02,pmf,increase,0.323
2026-01-10,wk flu hosp rate change,0,2026-01-10,02,pmf,large_decrease,0.063
2026-01-10,wk flu hosp rate change,0,2026-01-10,02,pmf,large_increase,0.065
2026-01-10,wk flu hosp rate change,0,2026-01-10,02,pmf,stable,0.20400000000000013
2026-01-10,wk flu hosp rate change,0,2026-01-10,04,pmf,decrease,0.318
2026-01-10,wk flu hosp rate change,0,2026-01-10,04,pmf,increase,0.377
2026-01-10,wk flu hosp rate change,0,2026-01-10,04,pmf,large_decrease,0.002
2026-01-10,wk flu hosp rate change,0,2026-01-10,04,pmf,large_increase,0.141
2026-01-10,wk flu hosp rate change,0,2026-01-10,04,pmf,stable,0.162
2026-01-10,wk flu hosp rate change,0,2026-01-10,05,pmf,decrease,0.205
2026-01-10,wk flu hosp rate change,0,2026-01-10,05,pmf,increase,0.431
2026-01-10,wk flu hosp rate change,0,2026-01-10,05,pmf,large_decrease,0.007
2026-01-10,wk flu hosp rate change,0,2026-01-10,05,pmf,large_increase,0.196
2026-01-10,wk flu hosp rate change,0,2026-01-10,05,pmf,stable,0.161
2026-01-10,wk flu hosp rate change,0,2026-01-10,06,pmf,decrease,0.212
2026-01-10,wk flu hosp rate change,0,2026-01-10,06,pmf,increase,0.414
2026-01-10,wk flu hosp rate change,0,2026-01-10,06,pmf,large_decrease,0.002
2026-01-10,wk flu hosp rate change,0,2026-01-10,06,pmf,large_increase,0.087
2026-01-10,wk flu hosp rate change,0,2026-01-10,06,pmf,stable,0.285
2026-01-10,wk flu hosp rate change,0,2026-01-10,08,pmf,decrease,0.385
2026-01-10,wk flu hosp rate change,0,2026-01-10,08,pmf,increase,0.207
2026-01-10,wk flu hosp rate change,0,2026-01-10,08,pmf,large_decrease,0.081
2026-01-10,wk flu hosp rate change,0,2026-01-10,08,pmf,large_increase,0.052
2026-01-10,wk flu hosp rate change,0,2026-01-10,08,pmf,stable,0.275
2026-01-10,wk flu hosp rate change,0,2026-01-10,09,pmf,decrease,0.188
2026-01-10,wk flu hosp rate change,0,2026-01-10,09,pmf,increase,0.435
2026-01-10,wk flu hosp rate change,0,2026-01-10,09,pmf,large_decrease,0.05
2026-01-10,wk flu hosp rate change,0,2026-01-10,09,pmf,large_increase,0.088
2026-01-10,wk flu hosp rate change,0,2026-01-10,09,pmf,stable,0.239
2026-01-10,wk flu hosp rate change,0,2026-01-10,10,pmf,decrease,0.243
2026-01-10,wk flu hosp rate change,0,2026-01-10,10,pmf,increase,0.379
2026-01-10,wk flu hosp rate change,0,2026-01-10,10,pmf,large_decrease,0.034
2026-01-10,wk flu hosp rate change,0,2026-01-10,10,pmf,large_increase,0.21
2026-01-10,wk flu hosp rate change,0,2026-01-10,10,pmf,stable,0.134
2026-01-10,wk flu hosp rate change,0,2026-01-10,11,pmf,decrease,0.435
2026-01-10,wk flu hosp rate change,0,2026-01-10,11,pmf,increase,0.204
2026-01-10,wk flu hosp rate change,0,2026-01-10,11,pmf,large_decrease,0.075
2026-01-10,wk flu hosp rate change,0,2026-01-10,11,pmf,large_increase,0.057
2026-01-10,wk flu hosp rate change,0,2026-01-10,11,pmf,stable,0.229
2026-01-10,wk flu hosp rate change,0,2026-01-10,12,pmf,decrease,0.276
2026-01-10,wk flu hosp rate change,0,2026-01-10,12,pmf,increase,0.384
2026-01-10,wk flu hosp rate change,0,2026-01-10,12,pmf,large_decrease,0.061
2026-01-10,wk flu hosp rate change,0,2026-01-10,12,pmf,large_increase,0.079
2026-01-10,wk flu hosp rate change,0,2026-01-10,12,pmf,stable,0.1999999999999999
2026-01-10,wk flu hosp rate change,0,2026-01-10,13,pmf,decrease,0.279
2026-01-10,wk flu hosp rate change,0,2026-01-10,13,pmf,increase,0.393
2026-01-10,wk flu hosp rate change,0,2026-01-10,13,pmf,large_decrease,0.023
2026-01-10,wk flu hosp rate change,0,2026-01-10,13,pmf,large_increase,0.107
2026-01-10,wk flu hosp rate change,0,2026-01-10,13,pmf,stable,0.1979999999999999
2026-01-10,wk flu hosp rate change,0,2026-01-10,15,pmf,decrease,0.21778221778221782
2026-01-10,wk flu hosp rate change,0,2026-01-10,15,pmf,increase,0.24675324675324678
2026-01-10,wk flu hosp rate change,0,2026-01-10,15,pmf,large_decrease,0.19280719280719283
2026-01-10,wk flu hosp rate change,0,2026-01-10,15,pmf,large_increase,0.2307692307692308
2026-01-10,wk flu hosp rate change,0,2026-01-10,15,pmf,stable,0.1118881118881119
2026-01-10,wk flu hosp rate change,0,2026-01-10,16,pmf,decrease,0.38
2026-01-10,wk flu hosp rate change,0,2026-01-10,16,pmf,increase,0.239
2026-01-10,wk flu hosp rate change,0,2026-01-10,16,pmf,large_decrease,0.036
2026-01-10,wk flu hosp rate change,0,2026-01-10,16,pmf,large_increase,0.142
2026-01-10,wk flu hosp rate change,0,2026-01-10,16,pmf,stable,0.203
2026-01-10,wk flu hosp rate change,0,2026-01-10,17,pmf,decrease,0.275
2026-01-10,wk flu hosp rate change,0,2026-01-10,17,pmf,increase,0.364
2026-01-10,wk flu hosp rate change,0,2026-01-10,17,pmf,large_decrease,0.021
2026-01-10,wk flu hosp rate change,0,2026-01-10,17,pmf,large_increase,0.185
2026-01-10,wk flu hosp rate change,0,2026-01-10,17,pmf,stable,0.155
2026-01-10,wk flu hosp rate change,0,2026-01-10,18,pmf,decrease,0.3016983016983017
2026-01-10,wk flu hosp rate change,0,2026-01-10,18,pmf,increase,0.3736263736263737
2026-01-10,wk flu hosp rate change,0,2026-01-10,18,pmf,large_decrease,0.029970029970029972
2026-01-10,wk flu hosp rate change,0,2026-01-10,18,pmf,large_increase,0.1188811188811189
2026-01-10,wk flu hosp rate change,0,2026-01-10,18,pmf,stable,0.17582417582417584
2026-01-10,wk flu hosp rate change,0,2026-01-10,19,pmf,decrease,0.093
2026-01-10,wk flu hosp rate change,0,2026-01-10,19,pmf,increase,0.457
2026-01-10,wk flu hosp rate change,0,2026-01-10,19,pmf,large_decrease,0.047
2026-01-10,wk flu hosp rate change,0,2026-01-10,19,pmf,large_increase,0.338
2026-01-10,wk flu hosp rate change,0,2026-01-10,19,pmf,stable,0.06499999999999989
2026-01-10,wk flu hosp rate change,0,2026-01-10,20,pmf,decrease,0.254
2026-01-10,wk flu hosp rate change,0,2026-01-10,20,pmf,increase,0.446
2026-01-10,wk flu hosp rate change,0,2026-01-10,20,pmf,large_decrease,0.014
2026-01-10,wk flu hosp rate change,0,2026-01-10,20,pmf,large_increase,0.125
2026-01-10,wk flu hosp rate change,0,2026-01-10,20,pmf,stable,0.161
2026-01-10,wk flu hosp rate change,0,2026-01-10,21,pmf,decrease,0.201
