reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-31,wk flu hosp rate change,0,2026-01-31,01,pmf,decrease,0.174
2026-01-31,wk flu hosp rate change,0,2026-01-31,01,pmf,increase,0.198
2026-01-31,wk flu hosp rate change,0,2026-01-31,01,pmf,large_decrease,0.384
2026-01-31,wk flu hosp rate change,0,2026-01-31,01,pmf,large_increase,0.165
2026-01-31,wk flu hosp rate change,0,2026-01-31,01,pmf,stable,0.079
2026-01-31,wk flu hosp rate change,0,2026-01-31,02,pmf,decrease,0.199
2026-01-31,wk flu hosp rate change,0,2026-01-31,02,pmf,increase,0.206
2026-01-31,wk flu hosp rate change,0,2026-01-31,02,pmf,large_decrease,0.04
2026-01-31,wk flu hosp rate change,0,2026-01-31,02,pmf,large_increase,0.006
2026-01-31,wk flu hosp rate change,0,2026-01-31,02,pmf,stable,0.549
2026-01-31,wk flu hosp rate change,0,2026-01-31,04,pmf,decrease,0.385
2026-01-31,wk flu hosp rate change,0,2026-01-31,04,pmf,increase,0.106
2026-01-31,wk flu hosp rate change,0,2026-01-31,04,pmf,large_decrease,0.152
2026-01-31,wk flu hosp rate change,0,2026-01-31,04,pmf,large_increase,0.184
2026-01-31,wk flu hosp rate change,0,2026-01-31,04,pmf,stable,0.1730000000000001
2026-01-31,wk flu hosp rate change,0,2026-01-31,05,pmf,decrease,0.014
2026-01-31,wk flu hosp rate change,0,2026-01-31,05,pmf,increase,0.017
2026-01-31,wk flu hosp rate change,0,2026-01-31,05,pmf,large_decrease,0.598
2026-01-31,wk flu hosp rate change,0,2026-01-31,05,pmf,large_increase,0.364
2026-01-31,wk flu hosp rate change,0,2026-01-31,05,pmf,stable,0.007
2026-01-31,wk flu hosp rate change,0,2026-01-31,06,pmf,decrease,0.267
2026-01-31,wk flu hosp rate change,0,2026-01-31,06,pmf,increase,0.299
2026-01-31,wk flu hosp rate change,0,2026-01-31,06,pmf,large_decrease,0.004
2026-01-31,wk flu hosp rate change,0,2026-01-31,06,pmf,large_increase,0.001
2026-01-31,wk flu hosp rate change,0,2026-01-31,06,pmf,stable,0.4289999999999999
2026-01-31,wk flu hosp rate change,0,2026-01-31,08,pmf,decrease,0.224
2026-01-31,wk flu hosp rate change,0,2026-01-31,08,pmf,increase,0.207
2026-01-31,wk flu hosp rate change,0,2026-01-31,08,pmf,large_decrease,0.004
2026-01-31,wk flu hosp rate change,0,2026-01-31,08,pmf,large_increase,0.001
2026-01-31,wk flu hosp rate change,0,2026-01-31,08,pmf,stable,0.564
2026-01-31,wk flu hosp rate change,0,2026-01-31,09,pmf,decrease,0.9920159680638723
2026-01-31,wk flu hosp rate change,0,2026-01-31,09,pmf,increase,0.001996007984031936
2026-01-31,wk flu hosp rate change,0,2026-01-31,09,pmf,large_decrease,0.001996007984031936
2026-01-31,wk flu hosp rate change,0,2026-01-31,09,pmf,large_increase,0.001996007984031936
2026-01-31,wk flu hosp rate change,0,2026-01-31,09,pmf,stable,0.001996007984031936
2026-01-31,wk flu hosp rate change,0,2026-01-31,10,pmf,decrease,0.244
2026-01-31,wk flu hosp rate change,0,2026-01-31,10,pmf,increase,0.147
2026-01-31,wk flu hosp rate change,0,2026-01-31,10,pmf,large_decrease,0.039
2026-01-31,wk flu hosp rate change,0,2026-01-31,10,pmf,large_increase,0.071
2026-01-31,wk flu hosp rate change,0,2026-01-31,10,pmf,stable,0.499
2026-01-31,wk flu hosp rate change,0,2026-01-31,11,pmf,decrease,0.221
2026-01-31,wk flu hosp rate change,0,2026-01-31,11,pmf,increase,0.091
2026-01-31,wk flu hosp rate change,0,2026-01-31,11,pmf,large_decrease,0.188
2026-01-31,wk flu hosp rate change,0,2026-01-31,11,pmf,large_increase,0.06
2026-01-31,wk flu hosp rate change,0,2026-01-31,11,pmf,stable,0.44
2026-01-31,wk flu hosp rate change,0,2026-01-31,12,pmf,decrease,0.311
2026-01-31,wk flu hosp rate change,0,2026-01-31,12,pmf,increase,0.361
2026-01-31,wk flu hosp rate change,0,2026-01-31,12,pmf,large_decrease,0.007
2026-01-31,wk flu hosp rate change,0,2026-01-31,12,pmf,large_increase,0.001
2026-01-31,wk flu hosp rate change,0,2026-01-31,12,pmf,stable,0.3200000000000001
2026-01-31,wk flu hosp rate change,0,2026-01-31,13,pmf,decrease,0.45
2026-01-31,wk flu hosp rate change,0,2026-01-31,13,pmf,increase,0.177
2026-01-31,wk flu hosp rate change,0,2026-01-31,13,pmf,large_decrease,0.007
2026-01-31,wk flu hosp rate change,0,2026-01-31,13,pmf,large_increase,0.001
2026-01-31,wk flu hosp rate change,0,2026-01-31,13,pmf,stable,0.365
2026-01-31,wk flu hosp rate change,0,2026-01-31,15,pmf,decrease,0.3656343656343657
2026-01-31,wk flu hosp rate change,0,2026-01-31,15,pmf,increase,0.18681318681318684
2026-01-31,wk flu hosp rate change,0,2026-01-31,15,pmf,large_decrease,0.09590409590409592
2026-01-31,wk flu hosp rate change,0,2026-01-31,15,pmf,large_increase,0.034965034965034975
2026-01-31,wk flu hosp rate change,0,2026-01-31,15,pmf,stable,0.31668331668331673
2026-01-31,wk flu hosp rate change,0,2026-01-31,16,pmf,decrease,0.4105894105894106
2026-01-31,wk flu hosp rate change,0,2026-01-31,16,pmf,increase,0.17182817182817184
2026-01-31,wk flu hosp rate change,0,2026-01-31,16,pmf,large_decrease,0.027972027972027975
2026-01-31,wk flu hosp rate change,0,2026-01-31,16,pmf,large_increase,0.01098901098901099
2026-01-31,wk flu hosp rate change,0,2026-01-31,16,pmf,stable,0.3786213786213787
2026-01-31,wk flu hosp rate change,0,2026-01-31,17,pmf,decrease,0.435
2026-01-31,wk flu hosp rate change,0,2026-01-31,17,pmf,increase,0.209
2026-01-31,wk flu hosp rate change,0,2026-01-31,17,pmf,large_decrease,0.097
2026-01-31,wk flu hosp rate change,0,2026-01-31,17,pmf,large_increase,0.155
2026-01-31,wk flu hosp rate change,0,2026-01-31,17,pmf,stable,0.104
2026-01-31,wk flu hosp rate change,0,2026-01-31,18,pmf,decrease,0.476
2026-01-31,wk flu hosp rate change,0,2026-01-31,18,pmf,increase,0.232
2026-01-31,wk flu hosp rate change,0,2026-01-31,18,pmf,large_decrease,0.055
2026-01-31,wk flu hosp rate change,0,2026-01-31,18,pmf,large_increase,0.117
2026-01-31,wk flu hosp rate change,0,2026-01-31,18,pmf,stable,0.12
2026-01-31,wk flu hosp rate change,0,2026-01-31,19,pmf,decrease,0.176
2026-01-31,wk flu hosp rate change,0,2026-01-31,19,pmf,increase,0.417
2026-01-31,wk flu hosp rate change,0,2026-01-31,19,pmf,large_decrease,0.155
2026-01-31,wk flu hosp rate change,0,2026-01-31,19,pmf,large_increase,0.048
2026-01-31,wk flu hosp rate change,0,2026-01-31,19,pmf,stable,0.2039999999999999
2026-01-31,wk flu hosp rate change,0,2026-01-31,20,pmf,decrease,0.333
2026-01-31,wk flu hosp rate change,0,2026-01-31,20,pmf,increase,0.19
2026-01-31,wk flu hosp rate change,0,2026-01-31,20,pmf,large_decrease,0.056
2026-01-31,wk flu hosp rate change,0,2026-01-31,20,pmf,large_increase,0.132
2026-01-31,wk flu hosp rate change,0,2026-01-31,20,pmf,stable,0.289
2026-01-31,wk flu hosp rate change,0,2026-01-31,21,pmf,decrease,0.277
2026-01-31,wk flu hosp rate change,0,2026-01-31,21,pmf,increase,0.114
2026-01-31,wk flu hosp rate change,0,2026-01-31,21,pmf,large_decrease,0.299
2026-01-31,wk flu hosp rate change,0,2026-01-31,21,pmf,large_increase,0.2
2026-01-31,wk flu hosp rate change,0,2026-01-31,21,pmf,stable,0.11000000000000011
2026-01-31,wk flu hosp rate change,0,2026-01-31,22,pmf,decrease,0.371
2026-01-31,wk flu hosp rate change,0,2026-01-31,22,pmf,increase,0.333
2026-01-31,wk flu hosp rate change,0,2026-01-31,22,pmf,large_decrease,0.063
2026-01-31,wk flu hosp rate change,0,2026-01-31,22,pmf,large_increase,0.046
2026-01-31,wk flu hosp rate change,0,2026-01-31,22,pmf,stable,0.187
2026-01-31,wk flu hosp rate change,0,2026-01-31,23,pmf,decrease,0.12
2026-01-31,wk flu hosp rate change,0,2026-01-31,23,pmf,increase,0.372
2026-01-31,wk flu hosp rate change,0,2026-01-31,23,pmf,large_decrease,0.011
2026-01-31,wk flu hosp rate change,0,2026-01-31,23,pmf,large_increase,0.033
2026-01-31,wk flu hosp rate change,0,2026-01-31,23,pmf,stable,0.464
2026-01-31,wk flu hosp rate change,0,2026-01-31,24,pmf,decrease,0.373
2026-01-31,wk flu hosp rate change,0,2026-01-31,24,pmf,increase,0.339
2026-01-31,wk flu hosp rate change,0,2026-01-31,24,pmf,large_decrease,0.017
2026-01-31,wk flu hosp rate change,0,2026-01-31,24,pmf,large_increase,0.032
2026-01-31,wk flu hosp rate change,0,2026-01-31,24,pmf,stable,0.239
2026-01-31,wk flu hosp rate change,0,2026-01-31,25,pmf,decrease,0.3626373626373627
2026-01-31,wk flu hosp rate change,0,2026-01-31,25,pmf,increase,0.3576423576423577
2026-01-31,wk flu hosp rate change,0,2026-01-31,25,pmf,large_decrease,0.0019980019980019984
2026-01-31,wk flu hosp rate change,0,2026-01-31,25,pmf,large_increase,0.0019980019980019984
2026-01-31,wk flu hosp rate change,0,2026-01-31,25,pmf,stable,0.27572427572427577
2026-01-31,wk flu hosp rate change,0,2026-01-31,26,pmf,decrease,0.305
2026-01-31,wk flu hosp rate change,0,2026-01-31,26,pmf,increase,0.285
2026-01-31,wk flu hosp rate change,0,2026-01-31,26,pmf,large_decrease,0.004
2026-01-31,wk flu hosp rate change,0,2026-01-31,26,pmf,large_increase,0.001
2026-01-31,wk flu hosp rate change,0,2026-01-31,26,pmf,stable,0.405
2026-01-31,wk flu hosp rate change,0,2026-01-31,27,pmf,decrease,0.416
2026-01-31,wk flu hosp rate change,0,2026-01-31,27,pmf,increase,0.266
2026-01-31,wk flu hosp rate change,0,2026-01-31,27,pmf,large_decrease,0.056
2026-01-31,wk flu hosp rate change,0,2026-01-31,27,pmf,large_increase,0.134
2026-01-31,wk flu hosp rate change,0,2026-01-31,27,pmf,stable,0.128
2026-01-31,wk flu hosp rate change,0,2026-01-31,28,pmf,decrease,0.227
2026-01-31,wk flu hosp rate change,0,2026-01-31,28,pmf,increase,0.389
2026-01-31,wk flu hosp rate change,0,2026-01-31,28,pmf,large_decrease,0.053
2026-01-31,wk flu hosp rate change,0,2026-01-31,28,pmf,large_increase,0.076
2026-01-31,wk flu hosp rate change,0,2026-01-31,28,pmf,stable,0.255
2026-01-31,wk flu hosp rate change,0,2026-01-31,30,pmf,decrease,0.061
2026-01-31,wk flu hosp rate change,0,2026-01-31,30,pmf,increase,0.023
2026-01-31,wk flu hosp rate change,0,2026-01-31,30,pmf,large_decrease,0.376
2026-01-31,wk flu hosp rate change,0,2026-01-31,30,pmf,large_increase,0.454
2026-01-31,wk flu hosp rate change,0,2026-01-31,30,pmf,stable,0.0860000000000001
